city,date,day_of_week,violation_type,count
Chicago,2014-09-09,1,speed,4248.0
Chicago,2014-09-10,2,redlight,1411.0
Chicago,2014-09-10,2,speed,3097.0
Chicago,2014-09-11,3,redlight,1441.0
Chicago,2014-09-11,3,speed,4211.0
Chicago,2014-09-12,4,redlight,1689.0
Chicago,2014-09-12,4,speed,3165.0
Chicago,2014-09-13,5,redlight,2056.0
Chicago,2014-09-13,5,speed,3334.0
Chicago,2014-09-14,6,redlight,1745.0
Chicago,2014-09-14,6,speed,3020.0
Chicago,2014-09-15,0,redlight,1396.0
Chicago,2014-09-15,0,speed,3677.0
Chicago,2014-09-16,1,redlight,1567.0
Chicago,2014-09-16,1,speed,4501.0
Chicago,2014-09-17,2,redlight,1536.0
Chicago,2014-09-17,2,speed,4592.0
Chicago,2014-09-18,3,redlight,1530.0
Chicago,2014-09-18,3,speed,4496.0
Chicago,2014-09-19,4,redlight,1650.0
Chicago,2014-09-19,4,speed,4597.0
Chicago,2014-09-20,5,redlight,1605.0
Chicago,2014-09-20,5,speed,2737.0
Chicago,2014-09-21,6,redlight,1473.0
Chicago,2014-09-21,6,speed,2835.0
Chicago,2014-09-22,0,redlight,1412.0
Chicago,2014-09-22,0,speed,4577.0
Chicago,2014-09-23,1,redlight,1326.0
Chicago,2014-09-23,1,speed,4492.0
Chicago,2014-09-24,2,redlight,1390.0
Chicago,2014-09-24,2,speed,4456.0
Chicago,2014-09-25,3,redlight,1314.0
Chicago,2014-09-25,3,speed,4257.0
Chicago,2014-09-26,4,redlight,1688.0
Chicago,2014-09-26,4,speed,4735.0
Chicago,2014-09-27,5,redlight,1672.0
Chicago,2014-09-27,5,speed,3038.0
Chicago,2014-09-28,6,redlight,1481.0
Chicago,2014-09-28,6,speed,3313.0
Chicago,2014-09-29,0,redlight,1296.0
Chicago,2014-09-29,0,speed,4347.0
Chicago,2014-09-30,1,redlight,1180.0
Chicago,2014-09-30,1,speed,3639.0
Chicago,2014-10-01,2,redlight,1368.0
Chicago,2014-10-01,2,speed,4340.0
Chicago,2014-10-02,3,redlight,1240.0
Chicago,2014-10-02,3,speed,3426.0
Chicago,2014-10-03,4,redlight,1325.0
Chicago,2014-10-03,4,speed,3606.0
Chicago,2014-10-04,5,redlight,1311.0
Chicago,2014-10-04,5,speed,2707.0
Chicago,2014-10-05,6,redlight,1357.0
Chicago,2014-10-05,6,speed,3303.0
Chicago,2014-10-06,0,redlight,1217.0
Chicago,2014-10-06,0,speed,3940.0
Chicago,2014-10-07,1,redlight,1242.0
Chicago,2014-10-07,1,speed,3859.0
Chicago,2014-10-08,2,redlight,1292.0
Chicago,2014-10-08,2,speed,3944.0
Chicago,2014-10-09,3,redlight,1319.0
Chicago,2014-10-09,3,speed,4048.0
Chicago,2014-10-10,4,redlight,1359.0
Chicago,2014-10-10,4,speed,3943.0
Chicago,2014-10-11,5,redlight,1554.0
Chicago,2014-10-11,5,speed,3149.0
Chicago,2014-10-12,6,redlight,1325.0
Chicago,2014-10-12,6,speed,3308.0
Chicago,2014-10-13,0,redlight,1103.0
Chicago,2014-10-13,0,speed,2110.0
Chicago,2014-10-14,1,redlight,1117.0
Chicago,2014-10-14,1,speed,2247.0
Chicago,2014-10-15,2,redlight,1089.0
Chicago,2014-10-15,2,speed,2913.0
Chicago,2014-10-16,3,redlight,1146.0
Chicago,2014-10-16,3,speed,3680.0
Chicago,2014-10-17,4,redlight,1287.0
Chicago,2014-10-17,4,speed,3985.0
Chicago,2014-10-18,5,redlight,1472.0
Chicago,2014-10-18,5,speed,2914.0
Chicago,2014-10-19,6,redlight,1391.0
Chicago,2014-10-19,6,speed,3135.0
Chicago,2014-10-20,0,redlight,1157.0
Chicago,2014-10-20,0,speed,4024.0
Chicago,2014-10-21,1,redlight,1021.0
Chicago,2014-10-21,1,speed,3416.0
Chicago,2014-10-22,2,redlight,1235.0
Chicago,2014-10-22,2,speed,4275.0
Chicago,2014-10-23,3,redlight,1263.0
Chicago,2014-10-23,3,speed,4245.0
Chicago,2014-10-24,4,redlight,1413.0
Chicago,2014-10-24,4,speed,4191.0
Chicago,2014-10-25,5,redlight,1629.0
Chicago,2014-10-25,5,speed,3384.0
Chicago,2014-10-26,6,redlight,1516.0
Chicago,2014-10-26,6,speed,3138.0
Chicago,2014-10-27,0,redlight,1193.0
Chicago,2014-10-27,0,speed,4015.0
Chicago,2014-10-28,1,redlight,1236.0
Chicago,2014-10-28,1,speed,4191.0
Chicago,2014-10-29,2,redlight,1086.0
Chicago,2014-10-29,2,speed,3821.0
Chicago,2014-10-30,3,redlight,1188.0
Chicago,2014-10-30,3,speed,3923.0
Chicago,2014-10-31,4,redlight,1203.0
Chicago,2014-10-31,4,speed,3317.0
Chicago,2014-11-01,5,redlight,1632.0
Chicago,2014-11-01,5,speed,3617.0
Chicago,2014-11-02,6,redlight,1337.0
Chicago,2014-11-02,6,speed,3313.0
Chicago,2014-11-03,0,redlight,1093.0
Chicago,2014-11-03,0,speed,3902.0
Chicago,2014-11-04,1,redlight,1100.0
Chicago,2014-11-04,1,speed,3655.0
Chicago,2014-11-05,2,redlight,1177.0
Chicago,2014-11-05,2,speed,4475.0
Chicago,2014-11-06,3,redlight,1089.0
Chicago,2014-11-06,3,speed,3592.0
Chicago,2014-11-07,4,redlight,1341.0
Chicago,2014-11-07,4,speed,3210.0
Chicago,2014-11-08,5,redlight,1535.0
Chicago,2014-11-08,5,speed,3440.0
Chicago,2014-11-09,6,redlight,1369.0
Chicago,2014-11-09,6,speed,3042.0
Chicago,2014-11-10,0,redlight,1185.0
Chicago,2014-11-10,0,speed,4365.0
Chicago,2014-11-11,1,redlight,1002.0
Chicago,2014-11-11,1,speed,2198.0
Chicago,2014-11-12,2,redlight,1147.0
Chicago,2014-11-12,2,speed,3827.0
Chicago,2014-11-13,3,redlight,1141.0
Chicago,2014-11-13,3,speed,3382.0
Chicago,2014-11-14,4,redlight,1231.0
Chicago,2014-11-14,4,speed,4409.0
Chicago,2014-11-15,5,redlight,1420.0
Chicago,2014-11-15,5,speed,3513.0
Chicago,2014-11-16,6,redlight,1148.0
Chicago,2014-11-16,6,speed,2850.0
Chicago,2014-11-17,0,redlight,1096.0
Chicago,2014-11-17,0,speed,3927.0
Chicago,2014-11-18,1,redlight,1179.0
Chicago,2014-11-18,1,speed,4122.0
Chicago,2014-11-19,2,redlight,1184.0
Chicago,2014-11-19,2,speed,3923.0
Chicago,2014-11-20,3,redlight,1330.0
Chicago,2014-11-20,3,speed,4371.0
Chicago,2014-11-21,4,redlight,1526.0
Chicago,2014-11-21,4,speed,4407.0
Chicago,2014-11-22,5,redlight,1393.0
Chicago,2014-11-22,5,speed,2580.0
Chicago,2014-11-23,6,redlight,1276.0
Chicago,2014-11-23,6,speed,1902.0
Chicago,2014-11-24,0,redlight,946.0
Chicago,2014-11-24,0,speed,2096.0
Chicago,2014-11-25,1,redlight,1221.0
Chicago,2014-11-25,1,speed,3999.0
Chicago,2014-11-26,2,redlight,1225.0
Chicago,2014-11-26,2,speed,2987.0
Chicago,2014-11-27,3,redlight,1244.0
Chicago,2014-11-27,3,speed,4119.0
Chicago,2014-11-28,4,redlight,1148.0
Chicago,2014-11-28,4,speed,3305.0
Chicago,2014-11-29,5,redlight,1452.0
Chicago,2014-11-29,5,speed,3320.0
Chicago,2014-11-30,6,redlight,1189.0
Chicago,2014-11-30,6,speed,2971.0
Chicago,2014-12-01,0,redlight,1049.0
Chicago,2014-12-01,0,speed,4020.0
Chicago,2014-12-02,1,redlight,1143.0
Chicago,2014-12-02,1,speed,3929.0
Chicago,2014-12-03,2,redlight,1206.0
Chicago,2014-12-03,2,speed,4418.0
Chicago,2014-12-04,3,redlight,1218.0
Chicago,2014-12-04,3,speed,4161.0
Chicago,2014-12-05,4,redlight,1236.0
Chicago,2014-12-05,4,speed,4045.0
Chicago,2014-12-06,5,redlight,1353.0
Chicago,2014-12-06,5,speed,3078.0
Chicago,2014-12-07,6,redlight,1222.0
Chicago,2014-12-07,6,speed,3121.0
Chicago,2014-12-08,0,redlight,972.0
Chicago,2014-12-08,0,speed,2334.0
Chicago,2014-12-09,1,redlight,1073.0
Chicago,2014-12-09,1,speed,2627.0
Chicago,2014-12-10,2,redlight,1009.0
Chicago,2014-12-10,2,speed,3233.0
Chicago,2014-12-11,3,redlight,1229.0
Chicago,2014-12-11,3,speed,4280.0
Chicago,2014-12-12,4,redlight,1238.0
Chicago,2014-12-12,4,speed,3756.0
Chicago,2014-12-13,5,redlight,1331.0
Chicago,2014-12-13,5,speed,3186.0
Chicago,2014-12-14,6,redlight,1176.0
Chicago,2014-12-14,6,speed,2988.0
Chicago,2014-12-15,0,redlight,1038.0
Chicago,2014-12-15,0,speed,2991.0
Chicago,2014-12-16,1,redlight,1074.0
Chicago,2014-12-16,1,speed,3073.0
Chicago,2014-12-17,2,redlight,1132.0
Chicago,2014-12-17,2,speed,3765.0
Chicago,2014-12-18,3,redlight,1150.0
Chicago,2014-12-18,3,speed,4092.0
Chicago,2014-12-19,4,redlight,1336.0
Chicago,2014-12-19,4,speed,4395.0
Chicago,2014-12-20,5,redlight,1457.0
Chicago,2014-12-20,5,speed,3282.0
Chicago,2014-12-21,6,redlight,1252.0
Chicago,2014-12-21,6,speed,3272.0
Chicago,2014-12-22,0,redlight,1272.0
Chicago,2014-12-22,0,speed,2013.0
Chicago,2014-12-23,1,redlight,1339.0
Chicago,2014-12-23,1,speed,3037.0
Chicago,2014-12-24,2,redlight,1202.0
Chicago,2014-12-24,2,speed,2634.0
Chicago,2014-12-25,3,redlight,1079.0
Chicago,2014-12-25,3,speed,4182.0
Chicago,2014-12-26,4,redlight,1202.0
Chicago,2014-12-26,4,speed,3592.0
Chicago,2014-12-27,5,redlight,1237.0
Chicago,2014-12-27,5,speed,3182.0
Chicago,2014-12-28,6,redlight,1269.0
Chicago,2014-12-28,6,speed,3581.0
Chicago,2014-12-29,0,redlight,1015.0
Chicago,2014-12-29,0,speed,3013.0
Chicago,2014-12-30,1,redlight,1259.0
Chicago,2014-12-30,1,speed,3162.0
Chicago,2014-12-31,2,redlight,1282.0
Chicago,2014-12-31,2,speed,3632.0
Chicago,2015-01-01,3,redlight,1287.0
Chicago,2015-01-01,3,speed,3527.0
Chicago,2015-01-02,4,redlight,1104.0
Chicago,2015-01-02,4,speed,3267.0
Chicago,2015-01-03,5,redlight,1070.0
Chicago,2015-01-03,5,speed,1483.0
Chicago,2015-01-04,6,redlight,1091.0
Chicago,2015-01-04,6,speed,977.0
Chicago,2015-01-05,0,redlight,936.0
Chicago,2015-01-05,0,speed,1969.0
Chicago,2015-01-06,1,redlight,1075.0
Chicago,2015-01-06,1,speed,1938.0
Chicago,2015-01-07,2,redlight,1012.0
Chicago,2015-01-07,2,speed,1620.0
Chicago,2015-01-08,3,redlight,1077.0
Chicago,2015-01-08,3,speed,958.0
Chicago,2015-01-09,4,redlight,1183.0
Chicago,2015-01-09,4,speed,1921.0
Chicago,2015-01-10,5,redlight,1323.0
Chicago,2015-01-10,5,speed,1967.0
Chicago,2015-01-11,6,redlight,1117.0
Chicago,2015-01-11,6,speed,1774.0
Chicago,2015-01-12,0,redlight,1079.0
Chicago,2015-01-12,0,speed,2596.0
Chicago,2015-01-13,1,redlight,1032.0
Chicago,2015-01-13,1,speed,3008.0
Chicago,2015-01-14,2,redlight,1062.0
Chicago,2015-01-14,2,speed,3050.0
Chicago,2015-01-15,3,redlight,1185.0
Chicago,2015-01-15,3,speed,3258.0
Chicago,2015-01-16,4,redlight,1312.0
Chicago,2015-01-16,4,speed,3508.0
Chicago,2015-01-17,5,redlight,1401.0
Chicago,2015-01-17,5,speed,2533.0
Chicago,2015-01-18,6,redlight,1299.0
Chicago,2015-01-18,6,speed,2494.0
Chicago,2015-01-19,0,redlight,1111.0
Chicago,2015-01-19,0,speed,2124.0
Chicago,2015-01-20,1,redlight,1001.0
Chicago,2015-01-20,1,speed,3184.0
Chicago,2015-01-21,2,redlight,1026.0
Chicago,2015-01-21,2,speed,2899.0
Chicago,2015-01-22,3,redlight,1007.0
Chicago,2015-01-22,3,speed,3080.0
Chicago,2015-01-23,4,redlight,1148.0
Chicago,2015-01-23,4,speed,3487.0
Chicago,2015-01-24,5,redlight,1293.0
Chicago,2015-01-24,5,speed,2812.0
Chicago,2015-01-25,6,redlight,977.0
Chicago,2015-01-25,6,speed,1607.0
Chicago,2015-01-26,0,redlight,1086.0
Chicago,2015-01-26,0,speed,3137.0
Chicago,2015-01-27,1,redlight,1042.0
Chicago,2015-01-27,1,speed,3547.0
Chicago,2015-01-28,2,redlight,1090.0
Chicago,2015-01-28,2,speed,3973.0
Chicago,2015-01-29,3,redlight,995.0
Chicago,2015-01-29,3,speed,3159.0
Chicago,2015-01-30,4,redlight,1274.0
Chicago,2015-01-30,4,speed,4464.0
Chicago,2015-01-31,5,redlight,1373.0
Chicago,2015-01-31,5,speed,2895.0
Chicago,2015-02-01,6,redlight,385.0
Chicago,2015-02-01,6,speed,32.0
Chicago,2015-02-02,0,redlight,547.0
Chicago,2015-02-02,0,speed,509.0
Chicago,2015-02-03,1,redlight,870.0
Chicago,2015-02-03,1,speed,1364.0
Chicago,2015-02-04,2,redlight,840.0
Chicago,2015-02-04,2,speed,1301.0
Chicago,2015-02-05,3,redlight,1138.0
Chicago,2015-02-05,3,speed,2211.0
Chicago,2015-02-06,4,redlight,1202.0
Chicago,2015-02-06,4,speed,2757.0
Chicago,2015-02-07,5,redlight,1421.0
Chicago,2015-02-07,5,speed,2279.0
Chicago,2015-02-08,6,redlight,1026.0
Chicago,2015-02-08,6,speed,2171.0
Chicago,2015-02-09,0,redlight,1012.0
Chicago,2015-02-09,0,speed,2379.0
Chicago,2015-02-10,1,redlight,1127.0
Chicago,2015-02-10,1,speed,3151.0
Chicago,2015-02-11,2,redlight,1078.0
Chicago,2015-02-11,2,speed,2963.0
Chicago,2015-02-12,3,redlight,1227.0
Chicago,2015-02-12,3,speed,3384.0
Chicago,2015-02-13,4,redlight,1377.0
Chicago,2015-02-13,4,speed,3470.0
Chicago,2015-02-14,5,redlight,1553.0
Chicago,2015-02-14,5,speed,2708.0
Chicago,2015-02-15,6,redlight,1264.0
Chicago,2015-02-15,6,speed,1853.0
Chicago,2015-02-16,0,redlight,1100.0
Chicago,2015-02-16,0,speed,2338.0
