days_from_release,count,date,game,release_date
75,4634.0,2015-06-28,GTA V,2015-04-14
76,4559.0,2015-06-29,GTA V,2015-04-14
77,4789.0,2015-06-30,GTA V,2015-04-14
78,4889.0,2015-07-01,GTA V,2015-04-14
79,5558.0,2015-07-02,GTA V,2015-04-14
80,5691.0,2015-07-03,GTA V,2015-04-14
81,5512.0,2015-07-04,GTA V,2015-04-14
82,4881.0,2015-07-05,GTA V,2015-04-14
83,4973.0,2015-07-06,GTA V,2015-04-14
84,5035.0,2015-07-07,GTA V,2015-04-14
85,4726.0,2015-07-08,GTA V,2015-04-14
86,5127.0,2015-07-09,GTA V,2015-04-14
87,5644.0,2015-07-10,GTA V,2015-04-14
88,4861.0,2015-07-11,GTA V,2015-04-14
89,4896.0,2015-07-12,GTA V,2015-04-14
90,4601.0,2015-07-13,GTA V,2015-04-14
-30,10284.0,2022-01-26,Elden Ring,2022-02-25
-29,10987.0,2022-01-27,Elden Ring,2022-02-25
-28,6118.0,2022-01-28,Elden Ring,2022-02-25
-27,7355.0,2022-01-29,Elden Ring,2022-02-25
-26,7664.0,2022-01-30,Elden Ring,2022-02-25
-25,9369.0,2022-01-31,Elden Ring,2022-02-25
-24,8336.0,2022-02-01,Elden Ring,2022-02-25
-23,1807.0,2022-02-02,Elden Ring,2022-02-25
-22,5210.0,2022-02-03,Elden Ring,2022-02-25
-21,8120.0,2022-02-04,Elden Ring,2022-02-25
-20,6919.0,2022-02-05,Elden Ring,2022-02-25
-19,7238.0,2022-02-06,Elden Ring,2022-02-25
-18,8590.0,2022-02-07,Elden Ring,2022-02-25
-17,9184.0,2022-02-08,Elden Ring,2022-02-25
-16,9558.0,2022-02-09,Elden Ring,2022-02-25
-15,8948.0,2022-02-10,Elden Ring,2022-02-25
-14,10404.0,2022-02-11,Elden Ring,2022-02-25
-13,8648.0,2022-02-12,Elden Ring,2022-02-25
-12,8321.0,2022-02-13,Elden Ring,2022-02-25
-11,10287.0,2022-02-14,Elden Ring,2022-02-25
-10,10144.0,2022-02-15,Elden Ring,2022-02-25
-9,9145.0,2022-02-16,Elden Ring,2022-02-25
-8,6266.0,2022-02-17,Elden Ring,2022-02-25
-7,9060.0,2022-02-18,Elden Ring,2022-02-25
-6,9138.0,2022-02-19,Elden Ring,2022-02-25
-5,9135.0,2022-02-20,Elden Ring,2022-02-25
-4,7729.0,2022-02-21,Elden Ring,2022-02-25
-3,6906.0,2022-02-22,Elden Ring,2022-02-25
-2,10125.0,2022-02-23,Elden Ring,2022-02-25
-1,8737.0,2022-02-24,Elden Ring,2022-02-25
0,9804.0,2022-02-25,Elden Ring,2022-02-25
1,9008.0,2022-02-26,Elden Ring,2022-02-25
2,9525.0,2022-02-27,Elden Ring,2022-02-25
3,10958.0,2022-02-28,Elden Ring,2022-02-25
4,10760.0,2022-03-01,Elden Ring,2022-02-25
5,11970.0,2022-03-02,Elden Ring,2022-02-25
6,10985.0,2022-03-03,Elden Ring,2022-02-25
7,12069.0,2022-03-04,Elden Ring,2022-02-25
8,10753.0,2022-03-05,Elden Ring,2022-02-25
9,9924.0,2022-03-06,Elden Ring,2022-02-25
10,10139.0,2022-03-07,Elden Ring,2022-02-25
11,11940.0,2022-03-08,Elden Ring,2022-02-25
12,12349.0,2022-03-09,Elden Ring,2022-02-25
13,11885.0,2022-03-10,Elden Ring,2022-02-25
14,13147.0,2022-03-11,Elden Ring,2022-02-25
15,11111.0,2022-03-12,Elden Ring,2022-02-25
16,11224.0,2022-03-13,Elden Ring,2022-02-25
17,12755.0,2022-03-14,Elden Ring,2022-02-25
18,12816.0,2022-03-15,Elden Ring,2022-02-25
19,13440.0,2022-03-16,Elden Ring,2022-02-25
20,13132.0,2022-03-17,Elden Ring,2022-02-25
21,10208.0,2022-03-18,Elden Ring,2022-02-25
22,10788.0,2022-03-19,Elden Ring,2022-02-25
23,11230.0,2022-03-20,Elden Ring,2022-02-25
24,12462.0,2022-03-21,Elden Ring,2022-02-25
25,10369.0,2022-03-22,Elden Ring,2022-02-25
26,10398.0,2022-03-23,Elden Ring,2022-02-25
27,10078.0,2022-03-24,Elden Ring,2022-02-25
28,12714.0,2022-03-25,Elden Ring,2022-02-25
29,10523.0,2022-03-26,Elden Ring,2022-02-25
