days_from_release,count,date,game,release_date
-16,2.0,2011-10-26,Skyrim,2011-11-11
-15,6.0,2011-10-27,Skyrim,2011-11-11
-14,5.0,2011-10-28,Skyrim,2011-11-11
-13,8.0,2011-10-29,Skyrim,2011-11-11
-12,6.0,2011-10-30,Skyrim,2011-11-11
-11,5.0,2011-10-31,Skyrim,2011-11-11
-10,3.0,2011-11-01,Skyrim,2011-11-11
-9,4.0,2011-11-02,Skyrim,2011-11-11
-8,1.0,2011-11-03,Skyrim,2011-11-11
-7,5.0,2011-11-04,Skyrim,2011-11-11
-6,8.0,2011-11-05,Skyrim,2011-11-11
-5,6.0,2011-11-06,Skyrim,2011-11-11
-4,5.0,2011-11-07,Skyrim,2011-11-11
-3,3.0,2011-11-08,Skyrim,2011-11-11
-2,7.0,2011-11-09,Skyrim,2011-11-11
-1,8.0,2011-11-10,Skyrim,2011-11-11
0,6.0,2011-11-11,Skyrim,2011-11-11
1,5.0,2011-11-12,Skyrim,2011-11-11
2,11.0,2011-11-13,Skyrim,2011-11-11
3,5.0,2011-11-14,Skyrim,2011-11-11
4,4.0,2011-11-15,Skyrim,2011-11-11
5,7.0,2011-11-16,Skyrim,2011-11-11
6,2.0,2011-11-17,Skyrim,2011-11-11
7,11.0,2011-11-18,Skyrim,2011-11-11
8,5.0,2011-11-19,Skyrim,2011-11-11
9,9.0,2011-11-20,Skyrim,2011-11-11
10,4.0,2011-11-21,Skyrim,2011-11-11
11,1.0,2011-11-22,Skyrim,2011-11-11
12,1.0,2011-11-23,Skyrim,2011-11-11
13,7.0,2011-11-24,Skyrim,2011-11-11
14,10.0,2011-11-25,Skyrim,2011-11-11
15,7.0,2011-11-26,Skyrim,2011-11-11
16,4.0,2011-11-27,Skyrim,2011-11-11
17,2.0,2011-11-28,Skyrim,2011-11-11
18,5.0,2011-11-29,Skyrim,2011-11-11
19,4.0,2011-11-30,Skyrim,2011-11-11
20,4.0,2011-12-01,Skyrim,2011-11-11
21,7.0,2011-12-02,Skyrim,2011-11-11
22,5.0,2011-12-03,Skyrim,2011-11-11
23,7.0,2011-12-04,Skyrim,2011-11-11
24,2.0,2011-12-05,Skyrim,2011-11-11
25,7.0,2011-12-06,Skyrim,2011-11-11
26,4.0,2011-12-07,Skyrim,2011-11-11
27,13.0,2011-12-08,Skyrim,2011-11-11
28,7.0,2011-12-09,Skyrim,2011-11-11
29,5.0,2011-12-10,Skyrim,2011-11-11
30,8.0,2011-12-11,Skyrim,2011-11-11
31,6.0,2011-12-12,Skyrim,2011-11-11
32,9.0,2011-12-13,Skyrim,2011-11-11
33,8.0,2011-12-14,Skyrim,2011-11-11
34,7.0,2011-12-15,Skyrim,2011-11-11
35,3.0,2011-12-16,Skyrim,2011-11-11
36,4.0,2011-12-17,Skyrim,2011-11-11
37,5.0,2011-12-18,Skyrim,2011-11-11
38,8.0,2011-12-19,Skyrim,2011-11-11
39,3.0,2011-12-20,Skyrim,2011-11-11
40,5.0,2011-12-21,Skyrim,2011-11-11
41,6.0,2011-12-22,Skyrim,2011-11-11
42,13.0,2011-12-23,Skyrim,2011-11-11
43,3.0,2011-12-24,Skyrim,2011-11-11
44,4.0,2011-12-25,Skyrim,2011-11-11
45,2.0,2011-12-26,Skyrim,2011-11-11
46,8.0,2011-12-27,Skyrim,2011-11-11
47,8.0,2011-12-28,Skyrim,2011-11-11
48,5.0,2011-12-29,Skyrim,2011-11-11
49,5.0,2011-12-30,Skyrim,2011-11-11
50,6.0,2011-12-31,Skyrim,2011-11-11
51,4.0,2012-01-01,Skyrim,2011-11-11
52,4.0,2012-01-02,Skyrim,2011-11-11
53,4.0,2012-01-03,Skyrim,2011-11-11
54,5.0,2012-01-04,Skyrim,2011-11-11
55,5.0,2012-01-05,Skyrim,2011-11-11
56,11.0,2012-01-06,Skyrim,2011-11-11
57,4.0,2012-01-07,Skyrim,2011-11-11
58,8.0,2012-01-08,Skyrim,2011-11-11
59,5.0,2012-01-09,Skyrim,2011-11-11
60,3.0,2012-01-10,Skyrim,2011-11-11
61,6.0,2012-01-11,Skyrim,2011-11-11
62,6.0,2012-01-12,Skyrim,2011-11-11
63,4.0,2012-01-13,Skyrim,2011-11-11
64,3.0,2012-01-14,Skyrim,2011-11-11
65,5.0,2012-01-15,Skyrim,2011-11-11
66,3.0,2012-01-16,Skyrim,2011-11-11
67,2.0,2012-01-17,Skyrim,2011-11-11
68,7.0,2012-01-18,Skyrim,2011-11-11
69,4.0,2012-01-19,Skyrim,2011-11-11
70,3.0,2012-01-20,Skyrim,2011-11-11
71,1.0,2012-01-21,Skyrim,2011-11-11
72,6.0,2012-01-22,Skyrim,2011-11-11
73,9.0,2012-01-23,Skyrim,2011-11-11
74,6.0,2012-01-24,Skyrim,2011-11-11
75,2.0,2012-01-25,Skyrim,2011-11-11
76,2.0,2012-01-26,Skyrim,2011-11-11
77,3.0,2012-01-27,Skyrim,2011-11-11
78,7.0,2012-01-28,Skyrim,2011-11-11
79,4.0,2012-01-29,Skyrim,2011-11-11
80,3.0,2012-01-30,Skyrim,2011-11-11
81,4.0,2012-01-31,Skyrim,2011-11-11
82,8.0,2012-02-01,Skyrim,2011-11-11
83,4.0,2012-02-02,Skyrim,2011-11-11
84,12.0,2012-02-03,Skyrim,2011-11-11
85,1.0,2012-02-04,Skyrim,2011-11-11
86,6.0,2012-02-05,Skyrim,2011-11-11
87,6.0,2012-02-06,Skyrim,2011-11-11
88,9.0,2012-02-07,Skyrim,2011-11-11
89,5.0,2012-02-08,Skyrim,2011-11-11
90,2.0,2012-02-09,Skyrim,2011-11-11
