comparison,variable,coefficient,std_error,p_value,ci_lower,ci_upper,n_obs,r_squared
gta vs reference,is_post,769.1307826538666,156.38548235376877,8.735590595532892e-07,462.6208695355557,1075.6406957721774,997,0.5819026042240858
gta vs reference,is_treated,-645.2304970914711,111.78349681369701,7.826894655584228e-09,-864.322124912265,-426.13886927067705,997,0.5819026042240858
gta vs reference,treated_x_post,-649.7687136883497,185.1011078475965,0.0004475259505256444,-1012.5602185681032,-286.97720880859623,997,0.5819026042240858
comparison vs reference,is_post,762.9496024970559,157.1967284018477,1.2131971318661178e-06,454.8496763419098,1071.049528652202,1229,0.6103390254409804
comparison vs reference,is_treated,1046.048359201335,162.438652620831,1.1974791056671418e-10,727.6744503672933,1364.4222680353766,1229,0.6103390254409804
comparison vs reference,treated_x_post,-550.1450047959079,273.2915016696268,0.04411108340308686,-1085.7865053492446,-14.503504242571239,1229,0.6103390254409804
gta vs comparison,is_post,212.8045977011449,218.1875010047743,0.3293970886017651,-214.8350461450096,640.4442415472994,464,0.7569654644819562
gta vs comparison,is_treated,-1706.9425287356416,182.19011329697707,7.321017968114845e-21,-2064.0285891369886,-1349.8564683342945,464,0.7569654644819562
gta vs comparison,treated_x_post,-93.44252873563048,272.0729588809862,0.731262518195612,-626.6957293096106,439.81067183834955,464,0.7569654644819562
