period,morning_7_9,afternoon_12_14,evening_19_22,late_night_22_2,total,morning_pct,afternoon_pct,evening_pct,late_night_pct
pre,147,116,75,61,693,21.21212121212121,16.738816738816737,10.822510822510822,8.802308802308803
post,175,221,134,114,1125,15.555555555555555,19.644444444444446,11.911111111111111,10.133333333333333
