comparison,coefficient_sig,std_error,p_value,n_obs,r_squared
gta vs reference,-649.77***,185.1011078475965,0.0004475259505256,997,0.5819026042240858
comparison vs reference,-550.15**,273.2915016696268,0.0441110834030868,1229,0.6103390254409804
gta vs comparison,-93.44,272.0729588809862,0.731262518195612,464,0.7569654644819562
