treatment,period,weekend_fri_sun,monday,midweek_tue_thu,total,weekend_pct,monday_pct,midweek_pct
comparison,pre,290567.0,98315.0,324058.0,712940.0,40.75616461413303,13.790080511684014,45.45375487418296
comparison,post,318487.0,106995.0,324486.0,749968.0,42.46674524779724,14.266608708638234,43.26664604356453
gta,pre,56677.0,18641.0,63326.0,138644.0,40.87951876749084,13.445226623582702,45.67525460892646
gta,post,67630.0,17910.0,60027.0,145567.0,46.45970583992251,12.303612769377676,41.236681390699815
reference,pre,546690.0,170057.0,529348.0,1246095.0,43.87225693065135,13.647193833535967,42.48054923581268
reference,post,689754.0,256161.0,704829.0,1650744.0,41.78443174713947,15.517911923350924,42.697656329509606
